,Topic_Num,Topic_Perc_Contrib,Keywords
0,0.0,0.3699,"ребёнок, мама, муж, сын, год, жизнь, детеи, семья, бабушка, родитель"
1,1.0,0.5609,"город, улица, дом, парк, фото, музей, здание, площадь, место, центр"
2,2.0,0.369,"человек, хотеть, мочь, любить, жизнь, знать, нужный, почему, говорить, жить"
3,3.0,0.3876,"лето, снег, вода, день, цветок, осень, месяц, дождь, ходить, гулять"
4,4.0,0.3766,"очень, день, море, место, туда, местный, пляж, путешествие, остров, похожий"
5,5.0,0.4873,"вопрос, мир, иметь, ситуация, проблема, должный, процесс, цель, возможный, какои"
6,6.0,0.5518,"школа, класс, учиться, тема, история, урок, получить, вести, дело, учитель"
7,7.0,0.4689,"работа, деньга, работать, рублеи, месяц, неделя, время, вариант, нужный, клиент"
8,8.0,0.3439,"очень, сказать, вообще, решить, такои, какои, знать, говорить, сильно, тип"
9,9.0,0.6072,"человек, слово, лицо, бог, время, сила, душа, жизнь, делать, любовь"
10,10.0,0.5104,"еда, есть, кофе, вино, вкусный, пиво, вкус, стол, бутылка, пить"
11,11.0,0.4408,"знать, думать, понимать, читать, казаться, вообще, почему, хотеться, сеичас, наверное"
12,12.0,0.5193,"говорить, вопрос, человек, должный, сказать, ответ, знать, телефон, право, просить"
13,13.0,0.4025,"смотреть, идти, сидеть, пойти, думать, стоять, глаз, голова, говорить, выйти"
14,14.0,0.4125,"язык, билет, русский, очень, народ, очередь, правда, метро, знать, вообще"
15,15.0,0.4049,"год, человек, стать, жить, время, сеичас, дом, помнить, старый, история"
16,16.0,0.3383,"рука, взять, глаз, пытаться, пока, минута, животное, долго, стоять, рядом"
17,17.0,0.48,"место, гора, вода, дорога, вид, часть, идти, маршрут, дальше, берег"
18,18.0,0.3485,"купить, магазин, сделать, покупать, стоять, цена, новыи, нужный, новый, вещь"
19,19.0,0.5331,"интересный, статья, канал, сделать, интернет, писать, видео, идея, опыт, делать"
20,20.0,0.3507,"новый, музыка, песня, хотеть, хороший, посмотреть, друг, группа, сегодня, писать"
21,21.0,0.3701,"время, очень, мочь, начинать, идти, видеть, немного, быстро, сразу, нужный"
22,22.0,0.5488,"час, свет, стать, минута, самолёт, метр, температура, попытка, земля, лёд"
23,23.0,0.3223,"очень, книга, любить, новый, нравиться, жизнь, фильм, первый, разный, свет"
24,24.0,0.3514,"дом, дверь, квартира, жить, комната, собака, кот, кошка, окно, пока"
25,25.0,0.3226,"сказать, стать, девушка, мужчина, начать, парень, женщина, хотеть, жена, спросить"
26,26.0,0.5175,"сказать, врач, стать, болеть, сеичас, кровь, глаз, ждать, больница, мочь"
27,27.0,0.4909,"сегодня, подарок, праздник, вчера, январь, подарить, друг, белый, желать, делать"
28,28.0,0.4201,"первый, мир, фотография, стать, первыи, главный, являться, мероприятие, однако, настоящий"
29,29.0,0.5016,"играть, первый, команда, игра, клуб, второй, второи, остаться, дать, пока"
30,30.0,0.3892,"день, утро, сегодня, вечер, ночь, час, работа, вчера, спать, завтра"
31,31.0,0.3825,"ехать, дорога, машина, место, поехать, машин, автобус, путь, оказаться, минута"
